id,code,name,x_internal_type,x_parent_id:id,reconcile,user_type_id:id
co_puc_com_123015,123015,EMPRESAS DE SERVICIOS,other,co_puc_com_1230,FALSE,account.data_account_type_asset
co_puc_com_1235,1235,T���_TULOS,view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_123505,123505,T���_TULOS DE DESARROLLO AGROPECUARIO,other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123510,123510,T���_TULOS CANJEABLES POR CERTIFICADOS DE CAMBIO,other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123515,123515,T���_TULOS DE TESORER���_A (TES),other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123520,123520,T���_TULOS DE PARTICIPACI���_N,other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123525,123525,T���_TULOS DE CR޸DITO DE FOMENTO,other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123530,123530,T���_TULOS FINANCIEROS AGROINDUSTRIALES (TFA),other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123535,123535,T���_TULOS DE AHORRO CAFETERO (TAC),other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123540,123540,T���_TULOS DE AHORRO NACIONAL (TAN),other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123545,123545,T���_TULOS ENERG޸TICOS DE RENTABILIDAD CRECIENTE (TER),other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123550,123550,T���_TULOS DE AHORRO EDUCATIVO (TAE),other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123555,123555,T���_TULOS FINANCIEROS INDUSTRIALES Y COMERCIALES,other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123560,123560,TESOROS,other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123565,123565,T���_TULOS DE DEVOLUCI���_N DE IMPUESTOS NACIONALES (TIDIS),other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123570,123570,T���_TULOS INMOBILIARIOS,other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_123595,123595,OTROS,other,co_puc_com_1235,FALSE,account.data_account_type_asset
co_puc_com_1240,1240,ACEPTACIONES BANCARIAS O FINANCIERAS,view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_124005,124005,BANCOS COMERCIALES,other,co_puc_com_1240,FALSE,account.data_account_type_asset
co_puc_com_124010,124010,COMPA�񋨫_AS DE FINANCIAMIENTO COMERCIAL,other,co_puc_com_1240,FALSE,account.data_account_type_asset
co_puc_com_124015,124015,CORPORACIONES FINANCIERAS,other,co_puc_com_1240,FALSE,account.data_account_type_asset
co_puc_com_124095,124095,OTRAS,other,co_puc_com_1240,FALSE,account.data_account_type_asset
co_puc_com_1245,1245,DERECHOS FIDUCIARIOS,view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_124505,124505,FIDEICOMISOS DE INVERSI���_N MONEDA NACIONAL,other,co_puc_com_1245,FALSE,account.data_account_type_asset
co_puc_com_124510,124510,FIDEICOMISOS DE INVERSI���_N MONEDA EXTRANJERA,other,co_puc_com_1245,FALSE,account.data_account_type_asset
co_puc_com_1250,1250,DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS (REPOS),view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_125005,125005,ACCIONES,other,co_puc_com_1250,FALSE,account.data_account_type_asset
co_puc_com_125010,125010,CUOTAS O PARTES DE INTER޸S SOCIAL,other,co_puc_com_1250,FALSE,account.data_account_type_asset
co_puc_com_125015,125015,BONOS,other,co_puc_com_1250,FALSE,account.data_account_type_asset
co_puc_com_125020,125020,C޸DULAS,other,co_puc_com_1250,FALSE,account.data_account_type_asset
co_puc_com_125025,125025,CERTIFICADOS,other,co_puc_com_1250,FALSE,account.data_account_type_asset
co_puc_com_125030,125030,PAPELES COMERCIALES,other,co_puc_com_1250,FALSE,account.data_account_type_asset
co_puc_com_125035,125035,T���_TULOS,other,co_puc_com_1250,FALSE,account.data_account_type_asset
co_puc_com_125040,125040,ACEPTACIONES BANCARIAS O FINANCIERAS,other,co_puc_com_1250,FALSE,account.data_account_type_asset
co_puc_com_125095,125095,OTROS,other,co_puc_com_1250,FALSE,account.data_account_type_asset
co_puc_com_125099,125099,AJUSTES POR INFLACI���_N,other,co_puc_com_1250,FALSE,account.data_account_type_asset
co_puc_com_1255,1255,OBLIGATORIAS,view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_125505,125505,BONOS DE FINANCIAMIENTO ESPECIAL,other,co_puc_com_1255,FALSE,account.data_account_type_asset
co_puc_com_125510,125510,BONOS DE FINANCIAMIENTO PRESUPUESTAL,other,co_puc_com_1255,FALSE,account.data_account_type_asset
co_puc_com_125515,125515,BONOS PARA DESARROLLO SOCIAL Y SEGURIDAD INTERNA (BDSI),other,co_puc_com_1255,FALSE,account.data_account_type_asset
co_puc_com_125595,125595,OTRAS,other,co_puc_com_1255,FALSE,account.data_account_type_asset
co_puc_com_1260,1260,CUENTAS EN PARTICIPACI���_N,view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_126099,126099,AJUSTES POR INFLACI���_N,other,co_puc_com_1260,FALSE,account.data_account_type_asset
co_puc_com_1295,1295,OTRAS INVERSIONES,view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_129505,129505,APORTES EN COOPERATIVAS,other,co_puc_com_1295,FALSE,account.data_account_type_asset
co_puc_com_129510,129510,DERECHOS EN CLUBES SOCIALES,other,co_puc_com_1295,FALSE,account.data_account_type_asset
co_puc_com_129515,129515,ACCIONES O DERECHOS EN CLUBES DEPORTIVOS,other,co_puc_com_1295,FALSE,account.data_account_type_asset
co_puc_com_129520,129520,BONOS EN COLEGIOS,other,co_puc_com_1295,FALSE,account.data_account_type_asset
co_puc_com_129595,129595,DIVERSAS,other,co_puc_com_1295,FALSE,account.data_account_type_asset
co_puc_com_129599,129599,AJUSTES POR INFLACI���_N,other,co_puc_com_1295,FALSE,account.data_account_type_asset
co_puc_com_1299,1299,PROVISIONES,view,co_puc_com_12,FALSE,account.data_account_type_asset
co_puc_com_129905,129905,ACCIONES,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129910,129910,CUOTAS O PARTES DE INTER޸S SOCIAL,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129915,129915,BONOS,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129920,129920,C޸DULAS,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129925,129925,CERTIFICADOS,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129930,129930,PAPELES COMERCIALES,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129935,129935,T���_TULOS,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129940,129940,ACEPTACIONES BANCARIAS O FINANCIERAS,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129945,129945,DERECHOS FIDUCIARIOS,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129950,129950,DERECHOS DE RECOMPRA DE INVERSIONES NEGOCIADAS,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129955,129955,OBLIGATORIAS,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129960,129960,CUENTAS EN PARTICIPACI���_N,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_129995,129995,OTRAS INVERSIONES,other,co_puc_com_1299,FALSE,account.data_account_type_asset
co_puc_com_13,13,DEUDORES,view,co_puc_com_1,FALSE,account.data_account_type_receivable
co_puc_com_1305,1305,CLIENTES,view,co_puc_com_13,FALSE,account.data_account_type_receivable
co_puc_com_130505,130505,NACIONALES,receivable,co_puc_com_1305,TRUE,account.data_account_type_receivable
co_puc_com_130510,130510,DEL EXTERIOR,receivable,co_puc_com_1305,TRUE,account.data_account_type_receivable
co_puc_com_130515,130515,DEUDORES DEL SISTEMA,receivable,co_puc_com_1305,TRUE,account.data_account_type_receivable
co_puc_com_1310,1310,CUENTAS CORRIENTES COMERCIALES,view,co_puc_com_13,FALSE,account.data_account_type_receivable
co_puc_com_131005,131005,CASA MATRIZ,receivable,co_puc_com_1310,TRUE,account.data_account_type_receivable
co_puc_com_131010,131010,COMPA�񋨫_AS VINCULADAS,receivable,co_puc_com_1310,TRUE,account.data_account_type_receivable
co_puc_com_131015,131015,ACCIONISTAS O SOCIOS,receivable,co_puc_com_1310,TRUE,account.data_account_type_receivable
co_puc_com_131020,131020,PARTICULARES,receivable,co_puc_com_1310,TRUE,account.data_account_type_receivable
co_puc_com_131095,131095,OTRAS,receivable,co_puc_com_1310,TRUE,account.data_account_type_receivable
co_puc_com_1315,1315,CUENTAS POR COBRAR A CASA MATRIZ,view,co_puc_com_13,FALSE,account.data_account_type_receivable
co_puc_com_131505,131505,VENTAS,receivable,co_puc_com_1315,TRUE,account.data_account_type_receivable
co_puc_com_131510,131510,PAGOS A NOMBRE DE CASA MATRIZ,receivable,co_puc_com_1315,TRUE,account.data_account_type_receivable
co_puc_com_131515,131515,VALORES RECIBIDOS POR CASA MATRIZ,receivable,co_puc_com_1315,TRUE,account.data_account_type_receivable
co_puc_com_131520,131520,PR޸STAMOS,receivable,co_puc_com_1315,TRUE,account.data_account_type_receivable
