id,code,name,reconcile,user_type_id:id,chart_template_id:id
co_puc_122520,122520,"CERTIFICADOS DE CAMBIO",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122525,122525,"CERTIFICADOS CAFETEROS VALORIZABLES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122530,122530,"CERTIFICADOS ELÉCTRICOS VALORIZABLES (CEV)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122535,122535,"CERTIFICADOS DE REEMBOLSO TRIBUTARIO (CERT)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122540,122540,"CERTIFICADOS DE DESARROLLO TURÍSTICO",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122545,122545,"CERTIFICADOS DE INVERSIÓN FORESTAL (CIF)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_122595,122595,"OTROS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123005,123005,"EMPRESAS COMERCIALES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123010,123010,"EMPRESAS INDUSTRIALES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123015,123015,"EMPRESAS DE SERVICIOS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123505,123505,"TÍTULOS DE DESARROLLO AGROPECUARIO",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123510,123510,"TÍTULOS CANJEABLES POR CERTIFICADOS DE CAMBIO",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123515,123515,"TÍTULOS DE TESORERÍA (TES)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123520,123520,"TÍTULOS DE PARTICIPACIÓN",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123525,123525,"TÍTULOS DE CRÉDITO DE FOMENTO",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123530,123530,"TÍTULOS FINANCIEROS AGROINDUSTRIALES (TFA)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123535,123535,"TÍTULOS DE AHORRO CAFETERO (TAC)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123540,123540,"TÍTULOS DE AHORRO NACIONAL (TAN)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123545,123545,"TÍTULOS ENERGÉTICOS DE RENTABILIDAD CRECIENTE (TER)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123550,123550,"TÍTULOS DE AHORRO EDUCATIVO (TAE)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123555,123555,"TÍTULOS FINANCIEROS INDUSTRIALES Y COMERCIALES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123560,123560,"TESOROS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123565,123565,"TÍTULOS DE DEVOLUCIÓN DE IMPUESTOS NACIONALES (TIDIS)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123570,123570,"TÍTULOS INMOBILIARIOS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_123595,123595,"OTROS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_124005,124005,"BANCOS COMERCIALES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
