"id,""code"",""name"",""reconcile"",""user_type_id:id"",""chart_template_id:id"""
"co_puc_com_123015,""123015"",""Empresas De Servicios"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1235,""1235"",""TÃ_tulos"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_123505,""123505"",""TÃ_tulos De Desarrollo Agropecuario"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123510,""123510"",""TÃ_tulos Canjeables Por Certificados De Cambio"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123515,""123515"",""TÃ_tulos De TesorerÃ_a (Tes)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123520,""123520"",""TÃ_tulos De ParticipaciÃ_n"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123525,""123525"",""TÃ_tulos De CredÃ_to De Fomento"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123530,""123530"",""TÃ_tulos Financieros Agroindustriales (Tfa)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123535,""123535"",""TÃ_tulos De Ahorro Cafetero (Tac)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123540,""123540"",""TÃ_tulos De Ahorro Nacional (Tan)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123545,""123545"",""TÃ_tulos EnergÃ©ticos De Rentabilidad Creciente (Ter)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123550,""123550"",""TÃ_tulos De Ahorro Educativo (Tae)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123555,""123555"",""TÃ_tulos Financieros Industriales Y Comerciales"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123560,""123560"",""Tesoros"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123565,""123565"",""TÃ_tulos De DevoluciÃ_n De Impuestos Nacionales (Tidis)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123570,""123570"",""TÃ_tulos Inmobiliarios"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_123595,""123595"",""Otros"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1240,""1240"",""Aceptaciones Bancarias O Financieras"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_124005,""124005"",""Bancos Comerciales"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_124010,""124010"",""CompaÃ±Ã_as De Financiamiento Comercial"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_124015,""124015"",""Corporaciones Financieras"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_124095,""124095"",""Otras"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1245,""1245"",""Derechos Fiduciarios"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_124505,""124505"",""Fideicomisos De InversiÃ_n Moneda Nacional"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_124510,""124510"",""Fideicomisos De InversiÃ_n Moneda Extranjera"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1250,""1250"",""Derechos De Recompra De Inversiones Negociadas (Repos)"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_125005,""125005"",""Acciones"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125010,""125010"",""Cuotas O Partes De InterÃ©s Social"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125015,""125015"",""Bonos"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125020,""125020"",""CÃ©dulas"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125025,""125025"",""Certificados"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125030,""125030"",""Papeles Comerciales"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125035,""125035"",""TÃ_tulos"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125040,""125040"",""Aceptaciones Bancarias O Financieras"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125095,""125095"",""Otros"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125099,""125099"",""Ajustes Por InflaciÃ_n"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1255,""1255"",""Obligatorias"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_125505,""125505"",""Bonos De Financiamiento Especial"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125510,""125510"",""Bonos De Financiamiento Presupuestal"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125515,""125515"",""Bonos Para Desarrollo Social Y Seguridad Interna (Bdsi)"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_125595,""125595"",""Otras"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1260,""1260"",""Cuentas En ParticipaciÃ_n"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_126099,""126099"",""Ajustes Por InflaciÃ_n"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1295,""1295"",""Otras Inversiones"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_129505,""129505"",""Aportes En Cooperativas"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129510,""129510"",""Derechos En Clubes Sociales"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129515,""129515"",""Acciones O Derechos En Clubes Deportivos"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129520,""129520"",""Bonos En Colegios"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129595,""129595"",""Diversas"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129599,""129599"",""Ajustes Por InflaciÃ_n"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_1299,""1299"",""Provisiones"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_129905,""129905"",""Acciones"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129910,""129910"",""Cuotas O Partes De InterÃ©s Social"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129915,""129915"",""Bonos"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129920,""129920"",""CÃ©dulas"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129925,""129925"",""Certificados"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129930,""129930"",""Papeles Comerciales"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
